,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
0,3083,2022-09-18,3518,t,Prescott,37.81013,-122.29266,Private room,False,False,$55.00,55,2022-08-02,4.74,4.54,4.61,4.85,4.87,4.65,4.7,0.56
1,3264,2022-09-18,3241,f,Temescal,37.83522,-122.26099,Private room,False,False,$57.00,37,2022-09-08,4.29,4.67,4.0,4.81,4.95,4.38,4.52,0.23
2,5739,2022-09-18,9276,t,Oakland Ave-Harrison St,37.81352,-122.26055,Entire home/apt,False,False,$125.00,296,2022-08-28,4.96,4.92,4.97,4.97,4.98,4.92,4.97,1.84
3,10544,2022-09-18,36764,t,Panoramic Hill,37.85985,-122.25048,Private room,False,False,$95.00,215,2022-08-15,4.87,4.92,4.83,4.94,4.94,4.85,4.9,1.49
4,10676,2022-09-18,37681,f,Bushrod,37.86625,-122.27587,Entire home/apt,False,False,$218.00,5,2021-08-07,4.8,4.8,5.0,5.0,5.0,4.4,4.8,0.04
5,23637,2022-09-18,93339,t,Montclair,37.82994,-122.20976,Private room,False,False,$75.00,52,2022-08-27,4.82,4.95,4.97,4.97,4.89,4.89,4.87,0.34
6,24916,2022-09-18,98716,f,Piedmont Avenue,37.83169,-122.25175,Entire home/apt,False,False,$104.00,132,2022-08-14,4.57,4.84,4.51,4.79,4.69,4.54,4.53,0.89
7,25473,2022-09-18,106078,f,Upper Rockridge,37.83802,-122.23209,Entire home/apt,False,False,$141.00,18,2018-08-23,5.0,4.93,5.0,5.0,5.0,4.87,5.0,0.12
8,29521,2022-09-18,124220,t,Shafter,37.83618,-122.25581,Entire home/apt,False,False,$225.00,35,2020-01-04,4.74,4.94,4.6,4.69,4.83,4.71,4.65,0.26
9,30026,2022-09-18,98716,f,Temescal,37.8345,-122.26264,Entire home/apt,False,False,$191.00,2,2021-11-06,4.5,5.0,4.5,5.0,5.0,5.0,5.0,0.02
10,31573,2022-09-18,98716,f,Piedmont Avenue,37.83234,-122.25101,Entire home/apt,False,False,$197.00,160,2022-09-02,4.63,4.75,4.46,4.72,4.59,4.5,4.45,1.11
11,36702,2022-09-18,119361,f,Bushrod,37.84219,-122.26779,Entire home/apt,False,False,$125.00,32,2022-05-10,4.94,4.77,4.94,5.0,4.97,4.84,4.88,0.22
