,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
0,22772,2022-09-28,87827,f,Pacific Grove,36.62258,-121.9168,Entire home/apt,False,False,$293.00,67,2016-08-01,4.85,4.97,4.58,0.44
1,41014,2022-09-28,174738,f,Pacific Grove,36.63242,-121.93791,Entire home/apt,True,True,"$1,300.00",112,2022-06-20,4.92,4.98,4.78,0.81
2,44515,2022-09-28,195732,t,Pacific Grove,36.62475,-121.93491,Entire home/apt,False,False,$200.00,964,2022-06-21,4.96,4.97,4.93,6.54
3,129723,2022-09-28,639623,f,Pacific Grove,36.61886,-121.9083,Entire home/apt,False,False,$163.00,12,2021-08-19,4.5,5.0,4.5,0.12
4,192208,2022-09-28,930638,f,Pacific Grove,36.6036,-121.94702,Entire home/apt,False,False,$393.00,253,2022-09-23,4.91,4.96,4.76,1.89
5,1031734,2022-09-29,227482,f,Pacific Grove,36.60324,-121.92723,Entire home/apt,True,True,$350.00,237,2022-03-20,4.73,4.86,4.62,2.07
6,1325979,2022-09-28,5517174,t,Pacific Grove,36.61364,-121.90849,Entire home/apt,False,False,$100.00,386,2022-07-01,4.92,4.91,4.76,3.47
7,1375633,2022-09-28,4660433,f,Pacific Grove,36.61031,-121.90111,Entire home/apt,False,False,$113.00,273,2022-09-14,4.51,4.87,4.53,3.09
8,1535242,2022-09-28,579255,f,Pacific Grove,36.58947,-121.94589,Entire home/apt,False,False,$800.00,158,2022-09-25,4.92,4.88,4.78,1.43
9,1721186,2022-09-28,9073236,t,Pacific Grove,36.62455,-121.9166,Entire home/apt,False,False,$342.00,318,2022-09-18,4.92,4.98,4.62,2.94
10,1909416,2022-09-28,5517174,t,Pacific Grove,36.61458,-121.91033,Entire home/apt,False,False,$120.00,225,2022-07-01,4.9,4.84,4.69,2.09
11,2524139,2022-09-28,6117435,f,Pacific Grove,36.60151,-121.90509,Entire home/apt,False,False,$148.00,0,,,,,
12,2552934,2022-09-28,13070709,f,Pacific Grove,36.61667,-121.93354,Private room,False,False,$148.00,274,2022-09-26,4.82,4.86,4.78,2.69
13,2612524,2022-09-28,10752409,f,Pacific Grove,36.61333,-121.91236,Private room,False,False,$48.00,133,2022-09-06,4.54,4.68,4.6,1.29
14,3029273,2022-09-28,15429359,t,Pacific Grove,36.63256,-121.92525,Private room,False,False,$215.00,516,2022-09-20,4.95,4.97,4.78,5.24
15,3827024,2022-09-28,17507997,f,Pacific Grove,36.61108,-121.9146,Entire home/apt,False,False,$85.00,355,2022-07-31,4.93,4.89,4.85,3.59
16,3836973,2022-09-28,19763195,t,Pacific Grove,36.60527,-121.92805,Entire home/apt,False,False,$264.00,476,2022-09-27,4.95,4.83,4.79,4.82
17,3878092,2022-09-28,2507386,f,Pacific Grove,36.59454,-121.90478,Entire home/apt,False,False,$90.00,357,2022-07-05,4.92,4.87,4.8,3.61
18,4099680,2022-09-28,5508442,t,Pacific Grove,36.62322,-121.92883,Entire home/apt,False,False,$138.00,456,2022-09-15,4.94,4.89,4.75,4.76
19,4162387,2022-09-28,14299946,f,Pacific Grove,36.62156,-121.92043,Entire home/apt,False,False,$100.00,575,2022-08-31,4.78,4.95,4.41,6.0
20,4269074,2022-09-28,22162277,t,Pacific Grove,36.62721,-121.91984,Entire home/apt,False,False,$624.00,60,2022-08-28,4.72,4.84,4.4,0.63
21,4291804,2022-09-29,12118997,f,Pacific Grove,36.61565,-121.90903,Entire home/apt,False,False,$192.00,52,2020-04-25,4.85,4.87,4.72,0.56
22,4295911,2022-09-28,22301429,f,Pacific Grove,36.60356,-121.90863,Private room,False,False,$101.00,301,2022-08-31,4.94,4.84,4.84,3.21
23,5107382,2022-09-28,25826187,t,Pacific Grove,36.59867,-121.94372,Entire home/apt,False,False,$401.00,176,2022-07-11,4.86,4.95,4.7,1.88
24,5185545,2022-09-28,21424068,t,Pacific Grove,36.63193,-121.92454,Entire home/apt,False,False,$226.00,407,2022-09-10,4.97,4.96,4.83,4.42
25,5238711,2022-09-28,14806795,f,Pacific Grove,36.61945,-121.91409,Entire home/apt,False,False,$850.00,72,2022-09-06,4.87,4.94,4.68,0.82
26,5500336,2022-09-29,18067665,t,Pacific Grove,36.61859,-121.91086,Entire home/apt,False,False,$268.00,197,2022-09-01,4.92,4.96,4.73,2.14
27,5807126,2022-09-28,18067665,t,Pacific Grove,36.61955,-121.90999,Entire home/apt,False,False,$386.00,296,2022-09-01,4.95,4.95,4.76,3.3
28,5901624,2022-09-28,30650604,t,Pacific Grove,36.61036,-121.91021,Entire home/apt,False,False,$158.00,8,2022-04-04,4.88,5.0,4.75,0.09
29,6437330,2022-09-28,10870177,f,Pacific Grove,36.58413,-121.9343,Entire home/apt,False,False,$231.00,575,2022-09-27,4.91,4.95,4.81,6.43
30,6598417,2022-09-28,27230995,f,Pacific Grove,36.60073,-121.90769,Private room,False,False,$119.00,39,2019-09-05,4.72,4.76,4.39,0.49
31,6598441,2022-09-28,27230995,f,Pacific Grove,36.60231,-121.90963,Private room,False,False,$119.00,95,2022-07-16,4.74,4.79,4.66,1.07
32,6646306,2022-09-28,33787736,t,Pacific Grove,36.61494,-121.91549,Private room,False,False,$80.00,245,2022-09-01,4.84,4.78,4.75,2.76
33,6715036,2022-09-28,35157242,f,Pacific Grove,36.59976,-121.93263,Entire home/apt,True,True,$160.00,30,2022-08-31,4.77,4.93,4.63,0.79
34,6838013,2022-09-28,34795831,t,Pacific Grove,36.59423,-121.94982,Entire home/apt,False,False,$448.00,245,2022-09-26,4.92,4.97,4.76,2.78
35,7292129,2022-09-28,14806795,f,Pacific Grove,36.62134,-121.92599,Entire home/apt,False,False,$170.00,95,2022-09-21,4.82,4.9,4.59,1.1
36,7462468,2022-09-28,33787736,t,Pacific Grove,36.60753,-121.9121,Private room,False,False,$80.00,126,2022-09-11,4.77,4.75,4.66,1.44
37,7462535,2022-09-28,8334086,t,Pacific Grove,36.61617,-121.91343,Entire home/apt,False,False,$300.00,130,2021-12-18,4.93,4.9,4.78,1.5
38,7753356,2022-09-28,40754642,f,Pacific Grove,36.58322,-121.9232,Entire home/apt,False,False,$135.00,1055,2022-09-22,4.82,4.89,4.77,12.14
39,8104325,2022-09-28,42790415,f,Pacific Grove,36.62939,-121.9307,Entire home/apt,False,False,$400.00,125,2020-07-13,4.98,4.94,4.92,1.45
40,8992866,2022-09-29,46973805,f,Pacific Grove,36.61482,-121.90861,Entire home/apt,False,False,$200.00,120,2022-03-29,4.97,4.87,4.92,1.51
41,9012578,2022-09-28,16746377,t,Pacific Grove,36.62184,-121.91375,Entire home/apt,False,False,$115.00,496,2022-09-10,4.87,4.96,4.62,5.91
42,9038087,2022-09-28,4660433,f,Pacific Grove,36.61068,-121.90143,Entire home/apt,False,False,$129.00,266,2022-09-11,4.55,4.88,4.52,3.16
43,9155279,2022-09-28,46785054,t,Pacific Grove,36.62372,-121.916,Private room,False,False,$475.00,9,2022-05-30,5.0,5.0,4.78,0.68
44,9187354,2022-09-28,46785054,t,Pacific Grove,36.6249,-121.91585,Private room,False,False,$435.00,2,2022-08-11,5.0,5.0,4.5,0.02
45,9187647,2022-09-28,46785054,t,Pacific Grove,36.62344,-121.915,Private room,False,False,$345.00,17,2022-09-05,4.94,4.94,4.71,0.22
46,9197663,2022-09-28,46785054,t,Pacific Grove,36.625,-121.91444,Private room,False,False,$345.00,74,2022-08-03,4.96,4.99,4.68,0.9
47,9489604,2022-09-29,49183345,f,Pacific Grove,36.599,-121.89907,Entire home/apt,False,False,$120.00,31,2022-07-31,4.9,4.97,4.93,0.4
48,9759118,2022-09-28,14806795,f,Pacific Grove,36.60752,-121.94118,Entire home/apt,False,False,$775.00,51,2022-07-15,4.76,4.94,4.52,0.64
