,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
0,29967,2022-09-18,129123,f,Pacific Beach,32.80751,-117.2576,Entire home/apt,False,False,$225.00,88,2022-08-22,4.75,4.8,4.76,0.59
1,38245,2022-09-18,164137,f,Roseville,32.74217,-117.21931,Private room,False,False,$113.00,149,2022-07-24,4.35,4.61,4.4,1.02
2,108349,2022-09-19,546519,t,Pacific Beach,32.79783,-117.25416,Entire home/apt,False,False,$258.00,162,2022-06-28,4.79,4.89,4.69,1.2
3,126344,2022-09-18,546519,t,Pacific Beach,32.80751,-117.25728,Entire home/apt,True,True,$336.00,183,2022-08-28,4.77,4.78,4.65,1.38
4,54001,2022-09-18,252692,t,La Jolla,32.81301,-117.26856,Entire home/apt,False,False,$333.00,296,2022-09-08,4.92,4.97,4.89,2.08
5,132966,2022-09-18,555739,f,La Jolla,32.80934,-117.25913,Entire home/apt,True,False,$86.00,34,2022-09-07,4.82,4.94,4.82,0.28
6,62274,2022-09-18,302986,f,Pacific Beach,32.80583,-117.24244,Entire home/apt,False,False,$99.00,747,2022-09-16,4.87,4.87,4.8,5.2
7,149548,2022-09-18,721326,t,Bay Park,32.79993,-117.20067,Private room,False,False,$71.00,225,2022-09-13,4.92,4.88,4.93,1.66
8,62949,2022-09-18,21532,t,Pacific Beach,32.80885,-117.23043,Entire home/apt,False,False,$104.00,887,2022-09-12,4.9,4.82,4.81,7.23
9,67441,2022-09-18,332552,t,College Area,32.76347,-117.07753,Entire home/apt,False,False,$77.00,10,2022-08-16,5.0,4.7,4.9,0.11
10,165967,2022-09-19,790976,t,West University Heights,32.75314,-117.15142,Entire home/apt,False,False,$125.00,655,2022-09-10,4.98,4.95,4.95,4.84
11,75668,2022-09-19,401936,f,North Hills,32.74699,-117.14243,Private room,False,False,$45.00,196,2022-07-31,4.86,4.8,4.87,1.44
12,166241,2022-09-18,792566,f,East Lake,32.6567,-116.9713,Private room,True,False,$75.00,56,2022-09-03,4.84,4.71,4.86,0.41
13,77785,2022-09-18,417659,f,Old Town,32.749096,-117.191025,Private room,True,False,$104.00,20,2022-09-10,4.95,5.0,4.75,0.36
