,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
0,958,2022-09-07,1169,t,Western Addition,37.77028,-122.43317,Entire home/apt,False,False,$180.00,358,2022-08-21,4.93,4.98,4.77,2.24
1,5858,2022-09-07,8904,f,Bernal Heights,37.74474,-122.42089,Entire home/apt,False,False,$235.00,111,2017-08-06,4.85,4.77,4.68,0.68
2,8014,2022-09-07,22402,f,Outer Mission,37.73077,-122.44827,Private room,False,False,$61.00,86,2022-09-04,4.73,4.59,4.67,0.7
3,148627,2022-09-07,709325,f,Marina,37.79961,-122.42771,Entire home/apt,False,False,$85.00,116,2022-08-06,4.55,4.63,4.32,0.88
4,494111,2022-09-07,252927,t,Outer Richmond,37.77988,-122.48488,Entire home/apt,False,False,$146.00,211,2022-08-23,4.91,4.66,4.63,1.72
5,8142,2022-09-07,21994,f,Haight Ashbury,37.76555,-122.45213,Private room,False,False,$56.00,8,2018-09-12,4.38,4.63,4.63,0.08
6,148769,2022-09-07,709325,f,Twin Peaks,37.75045,-122.44956,Entire home/apt,False,False,$70.00,95,2022-05-07,4.13,4.56,4.18,0.95
7,8339,2022-09-07,24215,f,Western Addition,37.77564,-122.43642,Entire home/apt,False,False,$895.00,28,2019-06-28,4.88,4.94,4.75,0.18
8,150347,2022-09-07,172182,t,Mission,37.75981,-122.4188,Entire home/apt,False,False,$149.00,130,2022-06-11,4.75,4.36,4.61,0.96
9,501770,2022-09-07,2475480,t,Haight Ashbury,37.77252,-122.43846,Entire home/apt,False,False,$220.00,109,2022-08-01,4.96,4.74,4.59,0.88
10,503362,2022-09-07,2475480,t,Haight Ashbury,37.77265,-122.43857,Entire home/apt,False,False,$350.00,115,2018-07-07,4.94,4.79,4.72,0.93
11,150848,2022-09-07,726513,f,Potrero Hill,37.76276,-122.39357,Private room,False,False,$85.00,243,2022-07-15,4.93,4.92,4.93,1.81
12,8739,2022-09-07,7149,t,Mission,37.7603,-122.42197,Private room,False,False,$141.00,753,2022-08-31,4.94,4.93,4.74,4.72
13,166199,2022-09-07,792371,f,Castro/Upper Market,37.76241,-122.43026,Entire home/apt,False,False,$170.00,159,2019-07-08,4.84,4.95,4.7,1.18
14,504146,2022-09-07,2486135,t,Marina,37.80489,-122.43746,Entire home/apt,False,False,$296.00,108,2022-09-03,4.89,4.97,4.78,0.89
15,10578,2022-09-07,37049,f,Nob Hill,37.79249,-122.41499,Entire home/apt,False,False,$120.00,18,2015-05-17,4.76,4.82,4.75,0.14
16,505530,2022-09-07,698337,f,Bernal Heights,37.74154,-122.4086,Entire home/apt,False,False,$220.00,13,2022-08-19,4.69,4.46,4.62,0.12
17,12041,2022-09-07,21994,f,Haight Ashbury,37.76901,-122.44701,Private room,False,False,$65.00,7,2022-06-11,4.14,4.57,3.71,0.05
18,12042,2022-09-07,21994,f,Haight Ashbury,37.76932,-122.44723,Private room,False,False,$65.00,5,2015-10-18,3.0,4.6,3.8,0.04
19,519796,2022-09-07,2019559,f,Russian Hill,37.801,-122.42436,Entire home/apt,False,False,$126.00,79,2018-12-08,4.94,4.96,4.86,0.63
20,166771,2022-09-07,794467,t,Haight Ashbury,37.76973,-122.44695,Entire home/apt,False,False,$165.00,169,2022-08-09,4.9,4.85,4.78,1.26
21,12522,2022-09-07,18431,f,Castro/Upper Market,37.76237,-122.42992,Private room,False,False,$99.00,435,2022-08-29,4.94,4.94,4.93,2.82
22,175090,2022-09-07,127367,f,Financial District,37.79203,-122.40284,Entire home/apt,False,False,$110.00,26,2022-08-08,4.46,4.92,4.31,0.19
23,522273,2022-09-07,2568946,f,Bayview,37.73852,-122.39215,Private room,False,False,$62.00,11,2019-08-16,4.82,4.73,4.82,0.17
24,18904,2022-09-07,72464,f,Western Addition,37.77247,-122.43301,Private room,False,False,$121.00,429,2022-09-03,4.89,4.89,4.77,3.27
25,530857,2022-09-07,2607120,t,Excelsior,37.71727,-122.43644,Private room,False,False,$100.00,34,2022-06-04,4.88,4.85,4.94,0.65
26,531151,2022-09-07,2608908,f,Bernal Heights,37.73466,-122.41694,Entire home/apt,False,False,$449.00,24,2022-07-31,4.88,4.58,4.75,0.24
27,175102,2022-09-07,127367,f,Chinatown,37.79175,-122.4045,Entire home/apt,False,False,$142.00,54,2022-04-30,4.85,4.75,4.49,0.4
28,21334,2022-09-07,81455,t,Nob Hill,37.7962,-122.41562,Entire home/apt,True,True,$250.00,124,2022-07-01,4.94,4.87,4.83,0.83
29,177137,2022-09-07,817292,f,Russian Hill,37.79782,-122.40802,Entire home/apt,False,False,$103.00,71,2021-11-21,4.97,4.76,4.83,0.53
30,533627,2022-09-07,2544752,t,Potrero Hill,37.7608,-122.40379,Entire home/apt,True,True,$644.00,35,2021-03-27,4.88,4.88,4.58,0.29
31,537133,2022-09-07,127367,f,Castro/Upper Market,37.75714,-122.43419,Entire home/apt,False,False,$94.00,6,2022-08-20,4.83,4.67,4.33,0.05
32,183859,2022-09-07,882283,t,Glen Park,37.73604,-122.43777,Entire home/apt,False,False,$249.00,310,2022-08-29,4.93,4.87,4.77,2.48
33,23611,2022-09-07,18732,f,Bernal Heights,37.74537,-122.41226,Entire home/apt,False,False,$250.00,259,2022-08-27,4.94,4.77,4.83,1.72
34,545685,2022-09-07,2676602,t,Outer Richmond,37.77502,-122.48035,Entire home/apt,False,False,$114.00,960,2022-09-02,4.81,4.68,4.75,7.73
35,24463,2022-09-07,99128,t,Potrero Hill,37.75565,-122.40125,Private room,False,False,$165.00,337,2022-08-27,4.96,4.84,4.76,2.26
