,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
0,4952,2022-09-19,7054,t,Unincorporated Areas,37.43932,-122.15741,Private room,False,False,$70.00,76,2022-04-02,4.81,4.89,4.88,4.86,4.83,4.78,4.79,0.48
1,21373,2022-09-19,7054,t,Unincorporated Areas,37.43972,-122.15532,Private room,False,False,$70.00,264,2022-05-15,4.82,4.96,4.79,4.85,4.9,4.74,4.87,1.76
2,26622,2022-09-19,113123,f,Daly City,37.6949,-122.47517,Private room,False,False,$130.00,258,2022-09-05,4.96,4.73,4.97,4.96,4.95,4.93,4.96,1.73
3,39342,2022-09-19,127367,f,Pacifica,37.62972,-122.48739,Entire home/apt,False,False,$138.00,3,2022-02-05,5.0,5.0,5.0,4.5,5.0,5.0,4.67,0.02
4,40560,2022-09-19,174725,f,Unincorporated Areas,37.45379,-122.13867,Private room,False,False,$115.00,140,2022-09-01,4.95,4.95,4.95,4.91,4.95,4.83,4.91,0.96
5,55301,2022-09-19,261070,t,Menlo Park,37.46201,-122.15243,Entire home/apt,False,False,$149.00,53,2022-07-31,4.92,4.87,4.91,4.96,4.94,4.85,4.92,0.39
6,62799,2022-09-19,7054,t,Unincorporated Areas,37.43934,-122.15723,Private room,False,False,$83.00,149,2022-08-13,4.89,4.96,4.83,4.85,4.91,4.78,4.89,1.48
7,63146,2022-09-19,308176,f,Menlo Park,37.44674,-122.18433,Entire home/apt,False,False,$575.00,2,2022-08-05,5.0,5.0,4.0,5.0,4.0,4.0,5.0,0.04
8,72211,2022-09-19,101491,t,Portola Valley,37.3878,-122.20206,Entire home/apt,True,True,$354.00,129,2022-09-11,4.93,4.88,4.78,4.93,4.93,4.85,4.92,0.94
9,75284,2022-09-19,7054,t,Unincorporated Areas,37.43923,-122.15745,Private room,False,False,$72.00,208,2022-07-21,4.87,4.95,4.91,4.91,4.92,4.77,4.86,1.5
10,83584,2022-09-19,127367,f,Pacifica,37.63009,-122.48715,Entire home/apt,False,False,$120.00,9,2022-01-23,4.56,4.78,4.44,4.67,4.44,4.44,4.44,0.1
11,92921,2022-09-19,499362,f,Atherton,37.47632,-122.18583,Private room,True,False,$100.00,423,2022-09-12,4.98,4.84,4.99,4.97,4.99,4.9,4.94,3.06
12,110825,2022-09-19,568933,f,Brisbane,37.71664,-122.38981,Entire home/apt,False,False,$120.00,9,2019-08-11,5.0,4.33,4.56,4.78,4.89,4.78,4.71,0.07
13,123653,2022-09-19,617641,t,Atherton,37.4597,-122.19563,Entire home/apt,False,False,$713.00,13,2017-08-04,4.73,5.0,4.91,5.0,5.0,4.36,4.91,0.09
14,175322,2022-09-19,838172,f,Half Moon Bay,37.45712,-122.43771,Entire home/apt,False,False,$175.00,0,,,,,,,,,
15,182605,2022-09-19,424098,t,San Carlos,37.51267,-122.25994,Private room,False,False,$110.00,34,2022-09-13,4.9,4.9,4.9,4.97,5.0,4.87,4.82,0.26
16,214303,2022-09-19,174725,f,Unincorporated Areas,37.45378,-122.13855,Private room,False,False,$125.00,60,2022-07-01,4.98,5.0,4.97,4.98,4.95,4.9,4.92,0.45
17,236882,2022-09-19,617641,t,Atherton,37.46251,-122.1971,Private room,False,False,$90.00,148,2022-09-04,4.97,4.92,4.93,4.98,4.97,4.92,4.97,1.15
18,275617,2022-09-19,1440686,t,San Carlos,37.5093,-122.26645,Private room,True,True,$80.00,124,2020-03-08,4.96,4.86,4.88,4.87,4.9,4.82,4.85,0.95
19,281339,2022-09-19,1440686,t,San Carlos,37.5093,-122.26645,Private room,True,True,$80.00,132,2020-01-23,4.91,4.82,4.9,4.93,4.94,4.85,4.91,1.01
20,281472,2022-09-19,1440686,t,San Carlos,37.5093,-122.26645,Private room,True,True,$75.00,122,2020-02-08,4.92,4.88,4.93,4.95,4.97,4.85,4.86,0.97
21,312514,2022-09-19,1605211,t,Redwood City,37.48141,-122.24523,Entire home/apt,False,False,$114.00,305,2022-09-08,4.99,4.96,4.98,4.98,4.96,4.92,4.98,2.37
22,313467,2022-09-19,1611813,f,Unincorporated Areas,37.46706,-122.16517,Entire home/apt,False,False,"$1,000.00",10,2018-10-25,4.78,5.0,4.78,4.67,4.8,4.3,4.7,0.13
23,342311,2022-09-19,1440686,t,San Carlos,37.5093,-122.26645,Entire home/apt,True,False,$125.00,169,2022-08-28,4.84,4.91,4.92,4.84,4.9,4.8,4.81,1.31
24,409560,2022-09-19,2038517,f,Daly City,37.72034,-122.46745,Private room,False,False,$56.00,17,2022-08-15,4.82,4.76,4.59,4.94,4.94,4.65,4.76,0.14
25,474107,2022-09-19,2318089,t,Unincorporated Areas,37.72369,-122.42865,Private room,False,False,$104.00,122,2022-09-05,4.91,4.75,4.92,4.97,4.98,4.85,4.9,1.94
26,530857,2022-09-19,2607120,t,Daly City,37.71727,-122.43644,Private room,False,False,$100.00,34,2022-06-04,4.88,4.85,4.88,4.97,4.97,4.94,5.0,0.64
27,546284,2022-09-19,1221565,f,Daly City,37.70294,-122.45501,Entire home/apt,False,False,$145.00,80,2021-08-06,4.79,4.61,4.7,4.93,4.93,4.66,4.75,0.73
28,558059,2022-09-19,2575302,f,Burlingame,37.59089,-122.37628,Private room,False,False,$120.00,215,2022-06-12,4.53,4.8,4.42,4.71,4.78,4.61,4.62,1.74
29,606240,2022-09-19,3002688,t,San Carlos,37.49677,-122.25305,Entire home/apt,False,False,$425.00,91,2022-07-22,4.97,4.91,4.82,4.96,4.98,4.66,4.9,0.75
30,617211,2022-09-19,1921058,t,South San Francisco,37.66259,-122.42252,Entire home/apt,False,False,$147.00,382,2022-09-12,4.94,4.79,4.82,4.93,4.91,4.83,4.85,3.15
31,624038,2022-09-19,49735,t,Unincorporated Areas,37.43199,-122.19859,Entire home/apt,False,False,$449.00,110,2022-08-27,4.83,4.9,4.69,4.98,4.97,4.72,4.85,0.9
32,631807,2022-09-19,3142166,t,Foster City,37.56158,-122.25974,Entire home/apt,False,False,$80.00,26,2022-06-12,4.92,4.96,4.96,5.0,5.0,4.92,4.96,0.22
33,633412,2022-09-19,3153014,t,Burlingame,37.57957,-122.34964,Private room,False,False,$99.00,447,2022-09-15,4.92,4.95,4.91,4.94,4.93,4.85,4.89,3.78
34,634347,2022-09-19,2270239,f,Unincorporated Areas,37.51219,-122.46381,Entire home/apt,True,True,$793.00,95,2022-08-31,4.89,4.82,4.95,4.91,4.92,4.75,4.89,0.78
35,646496,2022-09-19,3240667,t,Belmont,37.51376,-122.2947,Private room,False,False,$80.00,82,2022-05-14,5.0,4.91,4.99,4.99,5.0,4.99,4.98,0.67
36,664068,2022-09-19,3354031,f,Unincorporated Areas,37.52248,-122.34724,Entire home/apt,True,True,$314.00,66,2022-08-21,4.59,4.86,4.8,4.85,4.8,4.63,4.6,0.56
37,676279,2022-09-19,3259970,f,San Mateo,37.54158038490409,-122.2963176394508,Entire home/apt,False,False,$129.00,0,,,,,,,,,
38,706437,2022-09-19,49735,t,Unincorporated Areas,37.43024,-122.19717,Entire home/apt,False,False,$289.00,122,2022-08-21,4.94,4.83,4.88,4.95,4.97,4.79,4.88,1.03
39,728576,2022-09-19,3780024,f,Unincorporated Areas,37.47485,-122.19859,Entire home/apt,False,False,$142.00,193,2022-08-19,4.93,4.86,4.94,4.99,4.98,4.92,4.94,1.79
40,760743,2022-09-19,3381955,f,San Bruno,37.61949,-122.41676,Entire home/apt,False,False,$135.00,305,2022-05-29,4.9,4.78,4.82,4.98,4.98,4.86,4.9,2.56
41,789518,2022-09-19,25729267,f,Half Moon Bay,37.43028,-122.43763,Entire home/apt,False,False,"$1,400.00",24,2022-09-06,5.0,5.0,4.96,5.0,4.96,4.63,4.96,0.32
42,808914,2022-09-19,2441782,f,Burlingame,37.58169,-122.36466,Entire home/apt,False,False,$124.00,232,2021-10-15,4.94,4.91,4.87,4.93,4.87,4.87,4.85,1.95
43,817957,2022-09-19,962083,f,Unincorporated Areas,37.4501,-122.22711,Private room,False,False,$109.00,31,2020-02-15,4.97,4.9,5.0,4.97,4.97,4.87,4.9,0.27
44,834958,2022-09-19,4358242,t,Unincorporated Areas,37.43476,-122.20706,Entire home/apt,False,False,$300.00,60,2022-09-06,4.88,4.82,4.93,4.97,4.98,4.73,4.92,0.51
45,842458,2022-09-19,1905172,t,Unincorporated Areas,37.47255,-122.26414,Private room,False,False,$125.00,96,2022-08-04,4.89,4.87,4.63,4.87,4.94,4.73,4.86,0.81
46,869562,2022-09-19,795764,t,Half Moon Bay,37.46422,-122.4305,Entire home/apt,False,False,$200.00,273,2022-09-06,4.74,4.91,4.89,4.94,4.94,4.62,4.71,2.32
47,896948,2022-09-19,4784899,f,Menlo Park,37.45686,-122.18524,Private room,False,False,$120.00,42,2022-09-15,4.66,4.76,4.46,4.95,4.76,4.56,4.67,0.36
48,902703,2022-09-19,4824967,f,Woodside,37.45005,-122.24651,Entire home/apt,False,False,$400.00,3,2022-06-28,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0.03
49,912970,2022-09-19,4899769,f,South San Francisco,37.65573,-122.41299,Entire home/apt,False,False,$168.00,190,2022-09-12,4.77,4.62,4.73,4.83,4.77,4.74,4.73,1.68
50,915110,2022-09-19,4358242,t,Unincorporated Areas,37.43648,-122.20891,Entire home/apt,False,False,$130.00,119,2022-08-14,4.9,4.9,4.85,4.97,4.95,4.78,4.85,1.03
51,926837,2022-09-19,1119862,f,Redwood City,37.47735,-122.24064,Entire home/apt,False,False,$85.00,161,2022-06-20,4.96,4.95,4.96,4.99,4.99,4.94,4.93,1.42
52,955458,2022-09-19,5190612,f,Atherton,37.46136,-122.19484,Entire home/apt,False,False,$150.00,1,2022-07-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.4
53,1019374,2022-09-19,5612106,f,Unincorporated Areas,37.42926,-122.19288,Private room,False,False,$132.00,10,2022-06-17,4.6,5.0,4.6,4.6,4.6,4.6,4.6,0.21
54,1076875,2022-09-19,12561,f,San Carlos,37.49035,-122.2617,Entire home/apt,False,False,$375.00,58,2022-03-16,4.89,4.91,4.96,4.93,4.91,4.76,4.95,0.51
55,1079815,2022-09-19,5938185,f,Unincorporated Areas,37.44692,-122.15868,Entire home/apt,False,False,$190.00,47,2017-07-17,4.98,5.0,5.0,5.0,4.93,4.8,4.98,0.42
56,1115287,2022-09-19,703440,t,Unincorporated Areas,37.45699,-122.15199,Entire home/apt,False,False,$600.00,237,2022-06-12,4.94,4.91,4.91,4.95,4.97,4.77,4.94,2.11
57,1144231,2022-09-19,6273404,f,Unincorporated Areas,37.47518,-122.19537,Private room,False,False,$34.00,296,2020-06-20,4.98,4.89,4.99,4.96,4.99,4.91,4.96,3.02
58,1190922,2022-09-19,6510205,t,Menlo Park,37.46289,-122.1544,Entire home/apt,False,False,$150.00,26,2022-02-23,4.96,5.0,4.96,5.0,5.0,4.96,4.96,0.26
59,1237101,2022-09-19,4901047,f,Redwood City,37.45721,-122.25617,Entire home/apt,False,False,$128.00,137,2019-08-18,4.81,4.71,4.82,4.95,4.93,4.62,4.72,1.21
60,1260686,2022-09-19,1905172,t,Redwood City,37.46281,-122.22562,Entire home/apt,False,False,$350.00,4,2022-08-13,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0.08
61,1270828,2022-09-19,4069703,t,Burlingame,37.58134,-122.33639,Entire home/apt,True,False,$200.00,349,2022-08-11,4.93,4.96,4.97,4.98,4.99,4.91,4.97,3.13
62,1290326,2022-09-19,2739273,f,Half Moon Bay,37.47908,-122.44294,Entire home/apt,False,False,$385.00,197,2022-09-18,4.8,4.74,4.63,4.92,4.8,4.55,4.69,1.76
63,1332864,2022-09-19,6203283,f,South San Francisco,37.64583,-122.45549,Private room,True,True,$69.00,116,2022-09-17,4.82,4.7,4.72,4.81,4.88,4.79,4.74,1.15
64,1364787,2022-09-19,7406543,t,Unincorporated Areas,37.44973,-122.15081,Private room,False,False,$95.00,204,2022-08-21,4.84,4.9,4.82,4.86,4.85,4.72,4.79,1.84
65,1398981,2022-09-19,52835,f,Unincorporated Areas,37.45318,-122.16341,Entire home/apt,False,False,$279.00,26,2022-05-22,4.65,4.54,4.96,4.96,4.92,4.73,4.81,0.34
66,1461840,2022-09-19,7525905,f,Belmont,37.51385,-122.27422,Private room,False,False,$99.00,25,2022-09-13,5.0,4.92,4.88,5.0,5.0,4.96,4.88,0.67
67,1470340,2022-09-19,1393328,t,Daly City,37.70942,-122.43542,Entire home/apt,False,False,$150.00,215,2022-09-15,4.96,4.63,4.97,4.97,4.98,4.87,4.89,2.86
68,1479769,2022-09-19,7917994,t,Unincorporated Areas,37.43764,-122.15104,Entire home/apt,False,False,$111.00,122,2022-08-18,4.93,4.95,4.85,4.99,4.98,4.83,4.91,1.11
69,1480111,2022-09-19,4142181,f,San Mateo,37.54158,-122.3044,Private room,False,False,$80.00,4,2018-09-29,4.5,4.75,3.5,4.75,5.0,4.0,3.75,0.08
70,1483988,2022-09-19,5654340,f,East Palo Alto,37.44319,-122.12106,Entire home/apt,False,False,$170.00,189,2020-03-05,4.98,4.9,4.98,4.99,4.98,4.88,4.97,1.91
71,1488615,2022-09-19,374382,f,Redwood City,37.5346,-122.25436,Entire home/apt,False,False,$180.00,63,2022-08-07,4.74,4.79,4.65,4.89,4.97,4.69,4.73,0.57
72,1499978,2022-09-19,1912825,f,Unincorporated Areas,37.47287,-122.21348,Entire home/apt,False,False,$179.00,3,2021-07-12,4.33,3.0,4.33,5.0,4.67,4.0,4.33,0.16
