,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_value,reviews_per_month
0,26445399,2022-09-19,4716896,t,Palo Alto,37.45789,-122.15462,Entire home/apt,False,False,$110.00,19,2022-08-20,5.0,5.0,4.89,0.38
1,20802498,2022-09-19,16618066,t,Palo Alto,37.44982,-122.18271,Entire home/apt,False,False,$147.00,10,2021-07-28,4.8,4.8,4.1,0.17
2,23836998,2022-09-19,9379886,f,Palo Alto,37.46175,-122.16192,Private room,False,False,$100.00,0,,,,,
3,4952,2022-09-19,7054,t,Palo Alto,37.43932,-122.15741,Private room,False,False,$70.00,76,2022-04-02,4.81,4.89,4.78,0.48
4,11464,2022-09-19,42458,f,Santa Clara,37.34415,-121.98701,Entire home/apt,False,False,$85.00,16,2022-09-06,4.88,4.81,4.69,0.16
5,21373,2022-09-19,7054,t,Palo Alto,37.43972,-122.15532,Private room,False,False,$70.00,264,2022-05-15,4.82,4.96,4.74,1.76
6,40560,2022-09-19,174725,f,Palo Alto,37.45379,-122.13867,Private room,False,False,$115.00,140,2022-09-01,4.95,4.95,4.83,0.96
7,62799,2022-09-19,7054,t,Palo Alto,37.43934,-122.15723,Private room,False,False,$83.00,149,2022-08-13,4.89,4.96,4.78,1.48
8,75284,2022-09-19,7054,t,Palo Alto,37.43923,-122.15745,Private room,False,False,$72.00,208,2022-07-21,4.87,4.95,4.77,1.5
9,106365,2022-09-19,551319,f,Cupertino,37.32194,-122.00511,Entire home/apt,False,False,$189.00,183,2022-08-19,4.92,4.89,4.89,1.36
10,118903,2022-09-19,600040,t,Sunnyvale,37.38466,-122.03628,Private room,False,False,$86.00,121,2022-09-13,4.9,4.85,4.78,0.88
11,134606,2022-09-19,660433,f,San Jose,37.34602,-121.88821,Private room,False,False,$70.00,185,2021-08-14,4.78,4.61,4.78,1.37
