,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
0,8357,2022-09-28,24281,t,Unincorporated Areas,37.00939,-121.88547,Entire home/apt,False,False,$159.00,1724,2022-09-25,4.91,4.9,4.83,4.93,4.94,4.8,4.88,10.73
1,24548,2022-09-28,99532,t,City of Santa Cruz,36.97191,-121.99735,Private room,False,False,$100.00,526,2022-09-05,4.95,4.85,4.98,4.95,4.95,4.9,4.93,3.48
2,31721,2022-09-28,136376,f,City of Capitola,36.95849,-121.97207,Entire home/apt,True,True,$239.00,293,2022-09-26,4.79,4.95,4.68,4.94,4.91,4.5,4.71,2.45
3,43785,2022-09-28,191477,t,City of Santa Cruz,36.97774,-122.03403,Private room,False,False,$99.00,529,2022-09-18,4.92,4.93,4.94,4.88,4.92,4.8,4.87,3.6
4,54948,2022-09-28,258675,f,City of Santa Cruz,36.96788,-122.011841,Entire home/apt,False,False,$335.00,123,2022-04-03,4.92,4.93,4.89,4.97,4.98,4.78,4.91,0.85
5,57031,2022-09-28,44764,t,Unincorporated Areas,36.98111,-121.88124,Entire home/apt,False,False,$155.00,1,2018-08-22,5.0,5.0,3.0,5.0,5.0,5.0,5.0,0.02
6,70829,2022-09-28,360285,t,City of Santa Cruz,36.97789,-122.02757,Private room,False,False,$98.00,490,2022-09-25,4.95,4.96,4.94,4.97,4.95,4.9,4.91,3.45
7,101755,2022-09-28,532855,f,City of Santa Cruz,36.97732,-122.01147,Entire home/apt,True,True,$499.00,16,2022-09-05,4.8,4.73,4.73,5.0,4.87,4.93,4.88,0.12
8,126012,2022-09-28,625642,t,Unincorporated Areas,37.03277,-121.82554,Entire home/apt,False,False,$178.00,598,2022-08-29,4.94,4.9,4.9,4.95,4.89,4.81,4.91,4.37
9,153903,2022-09-28,625642,t,Unincorporated Areas,37.03123,-121.82499,Entire home/apt,False,False,$159.00,880,2022-09-09,4.87,4.82,4.81,4.87,4.82,4.78,4.89,6.44
